round_num,protocol,workload,num_cores,avg_latency,p50_latency,p99_latency,traffic_bytes,hit_rate,efficiency,invalidation_count,merge_count,merge_conflicts
19,CRDT,VIT,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,761
20,MESI,GPT2,2,83.9887,127.0,132.0,888744,0.339,0.012108771775250719,1513,0,0
20,CRDT,GPT2,2,2.0,2.0,2.0,105600,1.0,1.0,0,200,192
20,MESI,GPT2,4,103.91055,127.0,134.0,1111356,0.18425,0.005319479109676544,2782,0,0
20,CRDT,GPT2,4,2.0,2.0,2.0,633600,1.0,1.0,0,1200,1122
20,MESI,GPT2,8,115.5353,127.0,136.0,1240920,0.0976,0.0025342903857089563,3683,0,0
20,CRDT,GPT2,8,2.0,2.0,2.0,633600,1.0,1.0,0,1200,1028
20,MESI,GPT2,16,122.787,127.0,139.0,1319836,0.0456,0.0011141244594297442,4332,0,0
20,CRDT,GPT2,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,839
20,MESI,GPT2,32,126.1955,127.0,144.0,1351452,0.02555,0.0006073909133051496,4536,0,0
20,CRDT,GPT2,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,617
20,MESI,GPT2,64,128.9088,127.0,150.0,1371020,0.01175,0.0002734491361334525,4568,0,0
20,CRDT,GPT2,64,2.0,2.0,2.0,633600,1.0,1.0,0,1200,287
21,MESI,RESNET50,32,118.2684,127.0,144.0,3223740,0.08604,0.00218249337946569,18406,0,0
21,CRDT,RESNET50,32,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1764
21,MESI,VIT,32,126.76638,127.0,142.0,3387124,0.00986,0.0002333426260180341,3817,0,0
21,CRDT,VIT,32,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,2108
22,MESI,GPT2,16,118.75215,127.0,140.0,2570568,0.0796,0.0020109109603489283,13467,0,0
22,CRDT,GPT2,16,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2079
22,MESI,LLAMA,16,119.251525,127.0,140.0,2573384,0.07535,0.001895573243193326,11449,0,0
22,CRDT,LLAMA,16,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2044
23,MESI,DIFFUSION,32,126.7515,127.0,142.0,3385352,0.00958,0.00022674287878249961,3440,0,0
23,CRDT,DIFFUSION,32,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,2190
24,MESI,WHISPER,32,126.82625,127.0,142.0,2709532,0.010325,0.0002442317737850011,3258,0,0
24,CRDT,WHISPER,32,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1728
24,MESI,SAM,32,126.823675,127.0,141.0,2711736,0.007025,0.00016617559773441355,2018,0,0
24,CRDT,SAM,32,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1642
25,MESI,MIXTRAL,64,127.849975,127.0,147.0,2724772,0.005825,0.00013668364033704347,3735,0,0
25,CRDT,MIXTRAL,64,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1132
26,MESI,SAM,32,126.75977142857143,127.0,141.0,2371144,0.007028571428571428,0.00016634389639615273,1538,0,0
26,CRDT,SAM,32,2.0,2.0,2.0,1108800,1.0,1.0,0,2100,1349
26,MESI,VIT,32,126.82031428571429,127.0,141.0,2371808,0.007342857142857143,0.0001736990761507113,1832,0,0
26,CRDT,VIT,32,2.0,2.0,2.0,1108800,1.0,1.0,0,2100,1363
27,MESI,BERT_BASE,32,124.0026,127.0,144.0,1997232,0.04323333333333333,0.0010459458108136443,7751,0,0
27,CRDT,BERT_BASE,32,2.0,2.0,2.0,950400,1.0,1.0,0,1800,941
27,MESI,GPT2,32,125.68543333333334,127.0,144.0,2026440,0.032633333333333334,0.0007789287700537029,9078,0,0
27,CRDT,GPT2,32,2.0,2.0,2.0,950400,1.0,1.0,0,1800,1140
27,MESI,LLAMA,32,125.72543333333333,127.0,144.0,2021612,0.030533333333333332,0.0007285717580876635,7516,0,0
27,CRDT,LLAMA,32,2.0,2.0,2.0,950400,1.0,1.0,0,1800,1132
28,MESI,GPT2,32,123.78853333333333,127.0,145.0,4029996,0.051366666666666665,0.0012448648986335838,27263,0,0
28,CRDT,GPT2,32,2.0,2.0,2.0,1900800,1.0,1.0,0,3600,2967
28,MESI,LLAMA,32,123.94851666666666,127.0,145.0,4020436,0.049216666666666666,0.0011912203870666194,23981,0,0
28,CRDT,LLAMA,32,2.0,2.0,2.0,1900800,1.0,1.0,0,3600,2961
28,MESI,BERT_BASE,32,120.97378333333333,127.0,144.0,3940024,0.07076666666666667,0.0017549256884446176,24515,0,0
28,CRDT,BERT_BASE,32,2.0,2.0,2.0,1900800,1.0,1.0,0,3600,2818
29,MESI,RESNET50,64,124.40066,127.0,150.0,3385676,0.04496,0.0010842386205989582,20508,0,0
29,CRDT,RESNET50,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1022
29,MESI,BERT_BASE,64,127.21024,127.0,151.0,3421308,0.03064,0.0007225833392028818,19637,0,0
29,CRDT,BERT_BASE,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1406
29,MESI,GPT2,64,128.76862,127.0,151.0,3456680,0.02304,0.0005367767395503656,21842,0,0
29,CRDT,GPT2,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1792
29,MESI,GPT3_SCALE,64,127.01296,127.0,127.0,3399972,6e-05,1.4171782155143853e-06,41,0,0
29,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1706
29,MESI,DIFFUSION,64,127.77444,127.0,147.0,3403500,0.00464,0.00010894197618866496,3633,0,0
29,CRDT,DIFFUSION,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1614
29,MESI,LLAMA,64,128.63432,127.0,151.0,3443088,0.02156,0.0005028207091233506,18790,0,0
29,CRDT,LLAMA,64,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,1800
